,DiemHP_INT1339,DiemHP_INT1155,DiemHP_INT1358,DatHP
0,5.5,7.4,5.4,0.0
1,5.1,5.5,8.0,0.0
2,7.3,7.6,8.6,0.0
3,2.5,8.2,4.2,0.0
4,9.0,7.5,8.6,1.0
5,4.4,7.6,2.9,1.0
6,5.7,5.4,7.1,0.0
7,7.3,6.3,7.9,0.0
8,6.5,4.0,4.7,0.0
9,5.5,7.2,4.9,0.0
10,1.0,8.9,9.3,0.0
11,0.0,6.0,5.3,0.0
12,4.7,8.8,4.0,1.0
13,3.7,8.2,5.0,0.0
14,6.8,6.2,5.7,1.0
15,6.7,6.4,7.1,0.0
16,6.7,5.8,8.3,0.0
17,5.9,0.0,8.6,1.0
18,7.0,7.9,5.0,1.0
19,4.6,5.5,5.8,0.0
20,8.2,6.3,6.7,0.0
21,1.3,5.8,6.4,0.0
22,3.7,5.2,6.0,0.0
23,7.9,9.6,6.6,0.0
24,7.3,5.6,6.8,0.0
25,4.9,4.3,8.6,0.0
26,8.0,7.5,6.5,0.0
27,2.8,5.0,4.2,0.0
28,1.8,5.6,6.5,0.0
29,6.1,9.4,7.0,1.0
30,5.1,7.9,7.4,0.0
31,2.8,6.6,5.3,0.0
32,5.4,5.8,7.3,0.0
33,4.6,6.1,5.7,1.0
34,7.8,7.6,7.9,0.0
35,3.3,1.1,7.9,0.0
36,6.6,8.8,6.2,0.0
37,6.7,6.9,3.8,1.0
38,5.2,7.3,5.2,0.0
39,6.8,1.3,9.3,0.0
40,9.4,8.5,6.5,0.0
41,5.4,6.1,7.9,0.0
42,1.8,5.0,6.9,0.0
43,7.9,6.4,6.6,1.0
44,6.9,5.1,7.9,0.0
45,7.3,10.0,5.9,1.0
46,6.6,5.2,9.1,0.0
47,6.1,6.6,5.1,0.0
48,0.0,7.3,9.0,0.0
49,8.3,4.9,5.3,0.0
50,6.2,7.6,8.6,1.0
51,2.8,6.4,5.5,0.0
52,6.2,4.6,6.3,1.0
53,6.1,4.6,5.2,0.0
