,DiemHP_INT1339,DiemHP_INT1306,DatHP
0,6.8,7.3,1.0
1,4.2,1.3,1.0
2,9.1,4.6,1.0
3,6.4,7.6,1.0
4,2.2,0.0,0.0
5,8.4,1.3,1.0
6,4.7,0.0,1.0
7,9.4,8.7,1.0
8,6.7,0.9,1.0
9,4.35,6.7,1.0
10,3.9,1.3,1.0
11,7.9,7.1,1.0
12,5.5,3.5,1.0
13,9.7,8.5,1.0
14,4.3,1.2,0.0
15,6.6,1.3,1.0
16,5.4,0.7,1.0
17,3.7,8.2,1.0
18,1.0,0.0,0.0
19,3.4,0.0,1.0
20,5.2,0.0,0.0
21,6.1,0.9,0.0
22,6.2,4.0,1.0
23,5.949999999999999,1.1,1.0
24,2.0,0.0,0.0
25,8.1,1.2,1.0
26,4.2,5.6,0.0
27,4.1,4.0,1.0
28,4.0,0.0,1.0
29,6.9,3.4,0.0
30,0.0,0.9,0.0
31,8.1,1.1,0.0
32,5.8,2.9,1.0
33,4.3,0.0,1.0
34,0.0,0.7,1.0
35,5.2,2.8,1.0
36,4.8999999999999995,0.9,1.0
37,0.0,1.3,0.0
38,7.8,0.0,1.0
39,8.2,1.3,0.0
40,3.7,6.5,0.0
41,8.2,5.5,1.0
42,6.2,3.7,1.0
43,8.5,6.9,1.0
44,5.7,1.3,1.0
45,4.4,0.9,1.0
46,5.25,6.0,1.0
47,5.1,1.7,0.0
48,5.1,1.3,1.0
49,9.1,8.2,1.0
50,7.2,4.5,1.0
51,7.0,2.8,1.0
52,3.1,1.2,0.0
53,2.2,3.5,0.0
54,3.75,1.3,1.0
55,6.1,5.5,1.0
56,6.3,2.8,0.0
57,7.6,9.1,1.0
58,4.4,7.0,1.0
59,5.5,1.2,1.0
60,6.4,1.3,1.0
61,7.7,3.7,0.0
62,7.9,7.1,1.0
63,7.6,5.3,1.0
64,5.3,3.0,1.0
65,6.9,0.7,1.0
66,6.0,1.3,1.0
67,2.8,3.1,0.0
68,7.6,8.2,0.0
69,4.9,7.0,1.0
70,5.5,1.3,1.0
71,5.1,1.3,1.0
72,4.6,5.5,1.0
73,8.8,8.2,1.0
74,1.3,0.0,0.0
75,5.5,7.3,0.0
76,4.15,1.3,0.0
77,1.3,1.0,0.0
78,5.4,1.1,0.0
79,3.1,1.2,0.0
80,7.8,1.2,1.0
81,10.0,8.2,1.0
82,6.1,2.8,0.0
83,4.9,1.2,1.0
84,4.6,1.3,1.0
85,1.6,0.0,0.0
86,5.7,0.7,1.0
87,5.05,4.5,1.0
88,6.4,1.3,0.0
89,6.4,1.2,0.0
90,6.7,3.95,1.0
91,5.8,0.7,1.0
92,3.4,0.0,0.0
93,2.45,1.4,1.0
94,1.75,0.9,0.0
95,2.0,0.0,0.0
96,6.4,1.2,0.0
97,3.8,3.9,1.0
98,5.5,1.1,1.0
99,2.2,0.9,0.0
100,3.1,7.1,0.0
101,6.7,7.8,1.0
102,8.8,0.0,0.0
103,7.9,1.2,1.0
104,4.5,1.1,0.0
105,6.8,1.3,1.0
106,0.0,0.0,0.0
107,9.2,8.2,1.0
108,5.5,0.0,0.0
109,6.7,4.6,1.0
110,9.1,8.7,1.0
111,3.25,7.3,0.0
112,6.7,1.2,1.0
113,5.5,0.0,0.0
114,6.7,6.4,1.0
115,5.5,1.3,1.0
116,7.6,1.3,1.0
117,2.5,1.1,0.0
118,6.1,0.7,0.0
119,3.1,1.2,0.0
120,7.3,5.5,1.0
121,0.95,3.1,0.0
122,3.9,1.3,1.0
123,9.4,3.7,1.0
124,5.2,0.5,0.0
125,2.8,1.1,1.0
126,5.7,6.3,1.0
127,8.4,7.3,1.0
128,5.9,1.4500000000000002,0.0
129,5.8,0.0,0.0
130,8.8,8.5,1.0
131,3.1,1.2,0.0
132,8.4,1.2,1.0
133,1.2,0.7,1.0
134,4.699999999999999,5.3,1.0
135,5.05,1.9,1.0
136,8.0,3.4,1.0
137,0.0,0.0,0.0
138,4.7,0.0,0.0
139,7.0,7.8,1.0
140,1.6,1.3,1.0
141,7.0,1.3,0.0
142,6.3,0.0,0.0
143,7.3,0.7,1.0
144,2.5,1.3,0.0
145,6.7,1.3,1.0
146,5.9,6.0,1.0
147,8.5,6.4,1.0
148,4.7,1.3,1.0
149,8.5,7.3,1.0
150,5.5,1.1,1.0
151,4.9,0.0,1.0
152,6.6,1.1,0.0
153,9.0,7.3,1.0
154,4.55,6.4,1.0
155,5.199999999999999,3.7,1.0
156,7.0,8.2,1.0
157,2.55,0.7,1.0
158,8.8,6.4,1.0
159,4.3,7.3,1.0
160,4.5,2.9,0.0
161,4.9,4.6,1.0
162,4.1,4.0,1.0
163,8.8,8.2,1.0
164,8.2,1.2,0.0
165,10.0,9.1,1.0
166,0.0,0.4,0.0
167,6.1,5.5,1.0
168,5.95,1.2,0.0
169,7.0,7.3,1.0
170,6.0,1.1,1.0
171,0.0,0.0,0.0
172,4.9,7.3,1.0
173,3.55,1.3,1.0
174,4.1,3.0,1.0
175,5.65,3.0,1.0
176,4.6,1.2,0.0
177,5.3,0.9,1.0
178,5.1,7.0,1.0
179,6.1,1.1,1.0
180,5.2,1.1,1.0
181,7.3,1.1,0.0
182,4.199999999999999,1.1,0.0
183,6.4,8.9,1.0
184,5.0,1.1,1.0
185,5.0,1.3,0.0
186,4.35,1.3,1.0
187,6.7,8.2,1.0
188,5.5,7.8,1.0
189,4.2,1.3,1.0
190,6.7,3.0,1.0
191,5.4,3.7,1.0
192,4.9,1.2,0.0
193,2.8,1.1,0.0
194,7.0,1.3,1.0
195,4.9,1.2,1.0
196,2.2,0.0,0.0
197,5.5,1.2,1.0
198,1.7,1.3,1.0
199,3.85,2.8,1.0
200,2.0,0.5,1.0
201,1.9,3.5,0.0
202,6.1,7.3,1.0
203,6.9,0.9,1.0
204,8.8,5.2,1.0
205,5.5,1.9,0.0
206,4.3,0.0,1.0
207,6.1,6.2,1.0
208,4.0,0.5,1.0
209,9.4,3.9,1.0
210,1.3,2.8,1.0
211,7.3,7.3,1.0
212,2.3,0.0,0.0
213,1.75,3.0,1.0
214,2.5,1.1,0.0
215,7.6,3.7,1.0
216,4.550000000000001,3.7,1.0
217,2.8,1.3,1.0
218,1.9,0.0,0.0
219,6.1,8.2,1.0
220,7.3,1.3,1.0
221,4.6,4.6,1.0
222,2.35,1.1,1.0
223,8.4,3.7,1.0
224,4.8,0.0,1.0
225,2.8,1.3,0.0
226,8.5,8.2,1.0
227,3.3,1.1,0.0
228,4.6,1.3,1.0
229,5.35,4.5,1.0
230,4.6,3.3,0.0
231,6.3,1.3,0.0
232,6.7,0.5,1.0
233,1.3,0.7,0.0
234,8.2,7.8,1.0
235,6.9,1.3,1.0
236,4.2,2.5,0.0
237,2.2,0.0,0.0
238,3.4,7.3,1.0
239,4.3,0.0,0.0
240,4.6,1.3,0.0
241,5.5,7.3,1.0
242,2.0,0.0,0.0
243,8.3,2.8,1.0
244,2.7,1.3,0.0
245,4.6,1.3,1.0
246,5.05,1.3,1.0
247,4.3,1.1,0.0
248,6.2,3.5,1.0
249,5.7,0.7,0.0
250,6.5,1.3,1.0
251,5.7,1.1,1.0
252,4.2,0.7,0.0
253,4.55,2.8,1.0
254,6.7,3.7,1.0
255,8.2,3.7,1.0
256,7.9,4.2,0.0
257,4.6,4.4,1.0
258,6.9,7.5,1.0
