,DiemHP_INT1339,DiemHP_INT1332,DiemHP_INT1313,DatHP
0,8.8,7.1,5.9,1.0
1,4.0,1.8,5.5,1.0
2,7.8,8.6,3.5,0.0
3,6.8,6.8,7.8,1.0
4,7.9,4.7,3.2,1.0
5,4.0,7.5,2.3,1.0
6,6.7,7.1,7.1,1.0
7,6.8,6.4,5.4,1.0
8,5.1,5.2,5.7,1.0
9,4.1,5.1,1.1,1.0
10,6.3,5.9,5.5,1.0
11,7.7,2.8,5.9,1.0
12,3.7,7.4,7.0,1.0
13,6.6,0.0,0.0,0.0
14,9.7,6.9,7.5,1.0
15,9.1,7.0,6.4,1.0
16,8.2,6.1,5.2,1.0
17,4.0,6.8,5.4,1.0
18,8.5,8.3,8.4,1.0
19,4.9,6.7,7.1,1.0
20,7.3,5.7,6.1,1.0
21,4.4,8.2,4.9,1.0
22,4.5,4.6,0.0,1.0
23,4.3,2.5,5.9,1.0
24,4.9,7.4,3.9,1.0
25,3.9,7.1,6.0,1.0
26,6.2,7.4,4.6,1.0
27,4.0,6.9,0.0,1.0
28,2.0,7.9,4.9,1.0
29,6.9,6.1,5.9,1.0
30,8.5,5.0,6.4,1.0
31,9.0,6.6,7.1,1.0
32,4.7,8.9,4.5,1.0
33,5.1,7.6,6.4,1.0
34,7.2,7.2,2.9,1.0
35,6.7,6.3,7.1,1.0
36,7.2,5.6,4.7,1.0
37,7.3,0.0,3.3,0.0
38,4.9,4.6,5.2,1.0
39,4.3,7.4,6.6,0.0
40,5.1,8.5,3.7,1.0
41,9.6,5.6,6.6,1.0
42,8.1,3.0,3.9,1.0
43,7.0,6.7,4.6,1.0
44,5.2,3.2,4.5,1.0
45,6.1,7.2,5.2,1.0
46,8.2,5.6,5.8,1.0
47,4.3,5.0,5.1,1.0
48,1.5,3.1,1.8,1.0
49,6.3,4.5,7.3,1.0
50,4.6,4.0,1.8,0.0
51,4.3,1.4,2.2,1.0
52,6.7,5.9,5.0,1.0
53,7.4,8.7,4.5,1.0
54,7.6,7.4,2.5,1.0
55,4.9,3.5,3.2,1.0
56,7.9,6.1,8.0,1.0
57,4.8,0.0,4.1,1.0
58,2.8,0.0,4.1,1.0
59,8.8,5.3,6.6,1.0
60,5.4,0.0,4.0,1.0
61,1.6,5.5,3.5,1.0
62,7.2,8.2,3.1,1.0
63,4.9,7.5,7.5,1.0
64,6.4,3.1,4.6,1.0
65,5.2,3.3,4.6,1.0
66,7.0,7.8,6.1,1.0
67,5.7,5.8,8.8,1.0
68,6.1,8.6,6.2,1.0
69,6.3,2.0,4.1,1.0
70,5.2,2.4,4.8,1.0
71,6.9,0.0,4.0,1.0
72,4.1,10.0,6.5,1.0
73,9.1,5.7,5.7,1.0
74,2.0,0.0,1.4,1.0
75,7.6,7.6,6.0,1.0
76,4.3,6.1,2.5,1.0
77,4.5,0.0,4.5,1.0
78,10.0,6.7,7.2,1.0
79,4.7,8.6,4.8,1.0
80,9.4,5.9,8.7,1.0
81,7.3,4.5,5.2,0.0
82,7.3,4.1,5.4,0.0
83,8.2,6.7,7.3,1.0
84,6.1,3.9,5.0,0.0
85,5.1,4.7,0.0,1.0
86,6.4,4.7,3.3,1.0
87,4.1,3.0,1.1,1.0
88,6.6,5.5,6.2,1.0
89,8.1,4.5,4.1,1.0
90,5.7,7.2,2.7,1.0
91,3.9,5.9,5.1,0.0
92,3.6,2.8,1.7,1.0
93,6.0,7.1,2.8,1.0
94,6.4,3.8,2.3,0.0
95,6.1,7.6,5.9,1.0
96,5.5,6.0,2.5,1.0
97,6.4,6.9,5.7,1.0
98,6.6,6.2,6.5,0.0
99,5.0,7.1,6.2,1.0
100,3.8,8.2,4.1,1.0
101,1.3,1.4,1.6,1.0
102,2.2,1.8,0.0,1.0
103,7.3,1.9,5.6,1.0
104,6.9,4.6,4.6,1.0
